"h","u","x_D","pi_D","x_C","pi_C"
0,1,-3.67816091954023,2.29885057471264,-2.19598300447941,1.37248937779963
1,0.7,-2.57471264367816,1.60919540229885,-3.08191111463374,0.553705068846451
2,0.49,-1.80229885057471,1.1264367816092,-3.2439441780958,0.101270664663788
3,0.343,-1.2616091954023,0.788505747126437,-3.03511379249814,-0.130518990998535
4,0.2401,-0.883126436781609,0.551954022988505,-2.66224932769219,-0.23304029050372
5,0.16807,-0.618188505747126,0.386367816091954,-2.24178816520597,-0.262788226553884
6,0.117649,-0.432731954022988,0.270457471264368,-1.83529899617582,-0.254055730643845
7,0.0823543,-0.302912367816092,0.189320229885057,-1.47185526130749,-0.227152334292706
8,0.05764801,-0.212038657471264,0.13252416091954,-1.1619429972459,-0.193695165038492
9,0.040353607,-0.148427060229885,0.0927669126436781,-0.90596281904983,-0.159987611372545
10,0.0282475249,-0.103898942160919,0.0649368388505747,-0.699313618486503,-0.12915575035208
11,0.01977326743,-0.0727292595126436,0.0454557871954023,-0.535340792994527,-0.102483015932485
12,0.013841287201,-0.0509104816588505,0.0318190510367816,-0.406970659785764,-0.0802313332554773
13,0.00968890104069999,-0.0356373371611954,0.0222733357257471,-0.307552530212242,-0.0621363309834507
14,0.00678223072848999,-0.0249461360128368,0.015591335008023,-0.231235714685501,-0.0476980097042135
15,0.004747561509943,-0.0174622952089857,0.0109139345056161,-0.173083984167742,-0.0363448315735994
16,0.0033232930569601,-0.01222360664629,0.00763975415393126,-0.129050571076634,-0.0275208831819425
17,0.00232630513987207,-0.00855652465240301,0.00534782790775188,-0.0958867237186185,-0.0207274045987595
18,0.00162841359791045,-0.0059895672566821,0.00374347953542631,-0.0710256783187928,-0.015538153374891
19,0.00113988951853731,-0.00419269707967747,0.00262043567479842,-0.0524648497009374,-0.0116005178861597
20,0.000797922662976119,-0.00293488795577423,0.00183430497235889,-0.0386576263819523,-0.00862951457436565
21,0.000558545864083283,-0.00205442156904196,0.00128401348065123,-0.0284195219346221,-0.0063988152795814
22,0.000390982104858298,-0.00143809509832937,0.000898809436455858,-0.0208497451444889,-0.00473111049383325
23,0.000273687473400809,-0.00100666656883056,0.000629166605519101,-0.0152673403168001,-0.00348900301730549
24,0.000191581231380566,-0.000704666598181393,0.00044041662386337,-0.0111601835242954,-0.00256697299531544
25,0.000134106861966396,-0.000493266618726975,0.000308291636704359,-0.00814484688631179,-0.00188458539873977
26,9.38748033764774e-05,-0.000345286633108882,0.000215804145693051,-0.00593538505228961,-0.00138091364626386
27,6.57123623635342e-05,-0.000241700643176218,0.000151062901985136,-0.00431929188791438,-0.00101005822773452
28,4.59986536544739e-05,-0.000169190450223352,0.000105744031389595,-0.00313912665306202,-0.000737603271782728
29,3.21990575581317e-05,-0.000118433315156347,7.40208219727166e-05,-0.00227856617921597,-0.000537850296153778
30,2.25393402906922e-05,-8.29033206094426e-05,5.18145753809016e-05,-0.00165187679032768,-0.000391680868055184
31,1.57775382034846e-05,-5.80323244266098e-05,3.62702027666312e-05,-0.00119600597801307,-0.000284919257696629
32,1.10442767424392e-05,-4.06226270986269e-05,2.53891419366418e-05,-0.000864666474725689,-0.000207087189554614
33,7.73099371970743e-06,-2.84358389690388e-05,1.77723993556493e-05,-0.000623926032998015,-0.000150462776079796
34,5.4116956037952e-06,-1.99050872783272e-05,1.24406795489545e-05,-0.000448928558800581,-0.000109373421373396
35,3.78818692265664e-06,-1.3933561094829e-05,8.70847568426814e-06,-0.000321460547046004,-7.96675073466111e-05
36,2.65173084585965e-06,-9.75349276638031e-06,6.0959329789877e-06,-0.000228145233097579,-5.83220712177651e-05
37,1.85621159210175e-06,-6.82744493646622e-06,4.26715308529139e-06,-0.000159099280102317,-4.31537206220388e-05
38,1.29934811447123e-06,-4.77921145552635e-06,2.98700715970397e-06,-0.000106926367284612,-3.26080705110659e-05
39,9.09543680129859e-07,-3.34544801886845e-06,2.09090501179278e-06,-6.59513220437744e-05,-2.56094032755234e-05
40,6.36680576090901e-07,-2.34181361320791e-06,1.46363350825495e-06,-3.16194574908026e-05,-2.14574153456074e-05
